rep_id,territory_score,demos_given,proposals_sent,crm_usage,calls_made,training_completed,revenue,quota_hit
REP0001,5.6,5,1,10,33,1,34080.66,0
REP0002,2.9,1,4,1,27,1,20011.97,0
REP0003,6.5,8,3,21,25,3,47631.93,1
REP0004,6.9,3,4,13,17,0,36598.13,0
REP0005,1.1,7,4,0,25,1,28062.03,0
REP0006,2.4,5,3,0,31,1,31477.0,0
REP0007,5.3,4,2,16,33,4,40177.95,1
REP0008,4.4,9,3,8,25,0,42012.68,1
REP0009,5.0,6,5,8,30,4,34455.48,0
REP0010,3.3,5,7,3,42,2,39162.3,0
REP0011,6.8,5,1,11,34,1,47733.59,1
REP0012,6.6,8,3,10,15,1,41379.28,1
REP0013,5.1,12,1,10,31,0,40732.34,1
REP0014,7.3,5,3,16,51,0,51085.55,1
REP0015,5.9,5,4,6,19,1,44325.74,1
REP0016,3.3,6,8,3,34,0,54526.44,1
REP0017,5.7,8,2,14,26,1,36285.66,0
REP0018,3.1,5,2,1,23,4,19880.16,0
REP0019,6.8,6,3,13,34,0,49648.23,1
REP0020,4.9,6,5,5,38,1,35121.2,0
REP0021,4.6,5,4,9,28,0,35037.26,0
REP0022,3.6,7,5,4,40,1,37224.33,0
REP0023,7.4,11,1,10,33,0,53960.28,1
REP0024,4.7,5,5,6,26,2,41835.1,1
REP0025,4.1,2,2,9,18,0,26858.7,0
REP0026,4.3,4,1,6,7,1,23670.78,0
REP0027,6.1,12,1,11,35,3,50833.49,1
REP0028,5.7,10,8,12,61,2,78052.67,1
REP0029,5.8,7,2,10,34,0,42258.27,1
REP0030,5.9,5,3,11,35,2,38944.93,0
REP0031,9.3,2,5,17,27,1,46143.87,1
REP0032,4.2,7,4,9,25,1,34061.27,0
REP0033,4.0,2,2,3,32,2,22833.51,0
REP0034,3.4,6,1,3,41,0,22316.82,0
REP0035,6.2,8,4,14,45,2,46847.45,1
REP0036,7.3,6,5,12,43,4,59421.86,1
REP0037,4.8,8,4,5,32,2,47324.25,1
REP0038,3.3,3,2,1,25,2,21984.58,0
REP0039,3.4,9,4,3,19,2,30862.75,0
REP0040,6.3,8,7,18,23,3,61391.58,1
REP0041,6.5,9,5,13,23,6,51700.76,1
REP0042,6.1,8,3,14,28,1,35212.73,0
REP0043,3.7,3,2,3,22,4,27738.07,0
REP0044,5.5,2,4,9,16,1,39985.72,0
REP0045,5.2,4,6,7,25,2,29803.94,0
REP0046,5.4,4,3,7,23,2,31126.74,0
REP0047,6.7,2,4,8,18,5,39419.16,0
REP0048,5.4,2,5,11,26,1,40961.32,1
REP0049,6.4,7,5,17,28,3,45852.58,1
REP0050,5.1,6,3,7,21,0,32879.92,0
REP0051,5.6,3,3,14,37,3,37948.8,0
REP0052,6.3,2,3,13,9,1,33208.69,0
REP0053,2.1,2,5,3,6,1,26553.03,0
REP0054,4.4,5,3,5,24,2,26885.05,0
REP0055,4.1,10,5,9,29,0,36975.35,0
REP0056,3.7,7,3,2,31,2,36665.32,0
REP0057,4.4,2,5,2,22,0,34561.46,0
REP0058,8.0,7,6,12,28,2,62071.81,1
REP0059,3.3,5,11,2,31,1,45410.39,1
REP0060,6.9,3,3,8,24,3,35770.7,0
REP0061,1.6,6,6,1,42,3,37340.64,0
REP0062,4.3,4,3,5,20,3,23206.13,0
REP0063,5.3,8,8,4,35,2,59559.33,1
REP0064,6.2,4,8,11,57,0,57292.3,1
REP0065,6.4,7,4,18,31,3,50490.26,1
REP0066,6.6,7,1,14,33,3,35907.74,0
REP0067,4.3,11,3,7,34,7,37127.58,0
REP0068,4.1,4,4,3,33,3,31250.91,0
REP0069,6.7,10,4,17,33,1,45388.61,1
REP0070,4.6,4,4,4,27,5,29661.1,0
REP0071,2.4,6,5,1,28,2,34518.18,0
REP0072,2.7,4,6,3,22,3,35180.45,0
REP0073,3.2,5,8,5,30,2,34896.51,0
REP0074,6.0,9,3,9,50,2,48357.9,1
REP0075,5.3,6,4,10,41,1,42410.92,1
REP0076,6.4,6,4,11,36,1,52073.31,1
REP0077,4.1,7,8,3,40,1,49927.66,1
REP0078,5.3,5,2,12,21,4,39061.22,0
REP0079,6.3,7,6,11,31,2,52890.11,1
REP0080,4.4,9,3,7,39,2,43424.87,1
REP0081,5.9,6,2,10,39,2,31218.62,0
REP0082,3.7,3,5,3,19,1,31095.87,0
REP0083,4.3,9,3,9,24,2,37900.66,0
REP0084,4.2,6,8,5,50,2,44727.35,1
REP0085,2.6,5,2,0,25,2,25152.72,0
REP0086,6.0,4,4,8,46,2,43067.68,1
REP0087,4.1,7,5,7,31,2,41206.07,1
REP0088,5.0,7,2,6,29,3,34715.23,0
REP0089,6.0,11,5,6,29,6,49167.32,1
REP0090,5.9,8,2,12,40,2,46058.18,1
REP0091,6.3,4,2,11,41,1,38071.74,0
REP0092,4.8,6,3,5,16,3,30619.05,0
REP0093,4.2,5,5,4,24,0,35645.18,0
REP0094,4.8,10,3,13,35,4,33145.76,0
REP0095,1.6,10,5,0,26,3,34178.18,0
REP0096,2.1,12,2,0,21,0,30431.2,0
REP0097,2.4,6,4,0,33,2,25546.07,0
REP0098,3.0,2,4,2,36,2,32945.03,0
REP0099,5.8,6,2,9,22,1,31417.42,0
REP0100,3.2,6,4,0,29,0,35288.13,0
REP0101,4.2,6,1,10,18,1,39408.24,0
REP0102,7.6,9,4,16,28,0,59280.17,1
REP0103,4.3,5,3,5,27,1,31992.19,0
REP0104,6.5,10,14,11,40,2,70229.78,1
REP0105,3.1,4,10,5,19,1,36720.75,0
REP0106,4.6,1,5,4,19,1,30298.74,0
REP0107,3.1,5,3,2,14,2,23964.82,0
REP0108,4.3,6,4,7,31,0,32690.0,0
REP0109,6.7,7,3,18,12,1,43090.9,1
REP0110,1.5,3,3,1,12,2,17670.2,0
REP0111,5.9,5,4,12,13,0,43401.45,1
REP0112,5.5,8,1,12,29,1,30212.9,0
REP0113,3.8,6,10,5,15,3,45835.58,1
REP0114,2.1,4,4,1,24,2,23633.18,0
REP0115,5.1,8,6,5,46,2,46599.61,1
REP0116,3.9,1,3,3,42,3,33946.18,0
REP0117,5.5,8,1,10,12,0,37522.64,0
REP0118,5.0,5,6,5,30,1,34606.87,0
REP0119,8.2,3,2,19,22,1,44405.14,1
REP0120,4.5,4,1,9,15,3,29313.47,0
REP0121,3.0,6,6,1,26,3,35186.38,0
REP0122,5.4,6,2,8,36,2,29367.22,0
REP0123,5.4,7,6,19,40,0,56050.25,1
REP0124,7.7,8,2,14,23,2,42524.08,1
REP0125,6.7,5,5,10,39,1,49984.75,1
REP0126,5.7,9,4,11,11,1,47355.22,1
REP0127,7.9,4,2,19,24,2,45710.48,1
REP0128,2.6,6,8,2,24,2,48024.19,1
REP0129,3.7,9,3,5,29,4,38690.18,0
REP0130,3.1,3,4,7,22,3,24294.07,0
REP0131,4.2,4,3,8,26,2,35911.48,0
